="",="(1)",="(2)",="(3)",="(4)"
="",="w=0",="w=.15",="w=.2",="w=.25"
="High income",="0.19",="0.36",="0.44",="0.53"
="Low income",="0.13",="0.25",="0.30",="0.36"
="Lower middle income",="0.14",="0.23",="0.27",="0.33"
="Upper middle income",="0.25",="0.39",="0.46",="0.54"
="Advanced Economies",="0.54",="0.72",="0.79",="0.86"
="East Asia and the Pacific",="0.04",="0.09",="0.11",="0.13"
="Europe and Central Asia",="0.02",="0.06",="0.09",="0.11"
="Latin America and the Caribbean",="0.10",="0.14",="0.16",="0.18"
="Middle East and North Africa",="0.10",="0.21",="0.25",="0.30"
="South Asia",="0.15",="0.24",="0.28",="0.32"
="Sub-Saharan Africa",="0.04",="0.07",="0.08",="0.10"
