="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Growth",="Growth",="Growth",="Growth",="Growth",="Growth",="Growth",="Growth"
="Human Capital - Harmonized Learning Outcomes",="0.072",="",="",="",="0.059",="0.061",="0.069",="0.066"
="",="(0.018)",="",="",="",="(0.023)",="(0.022)",="(0.023)",="(0.024)"
="",="[0.000]",="",="",="",="[0.011]",="[0.007]",="[0.003]",="[0.006]"
="Human Capital - Penn World Tables",="",="0.033",="",="",="0.012",="",="",="0.019"
="",="",="(0.011)",="",="",="(0.013)",="",="",="(0.035)"
="",="",="[0.003]",="",="",="[0.358]",="",="",="[0.597]"
="Human Capital - Schooling from Barro-Lee",="",="",="0.016",="",="",="0.006",="",="0.014"
="",="",="",="(0.006)",="",="",="(0.007)",="",="(0.020)"
="",="",="",="[0.004]",="",="",="[0.382]",="",="[0.494]"
="Human Capital - Human Development Index",="",="",="",="0.020",="",="",="0.002",="-0.028"
="",="",="",="",="(0.008)",="",="",="(0.010)",="(0.022)"
="",="",="",="",="[0.013]",="",="",="[0.844]",="[0.194]"
="Observations",="107",="107",="107",="107",="107",="107",="107",="107"
="R-Squared",="0.300",="0.261",="0.255",="0.240",="0.306",="0.305",="0.301",="0.318"
